row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed
1,45.8434998,13.734169,-54.0,35.45,False,False,False
2,45.8435046,13.734147,-53.0,35.45,False,False,False
3,45.8417915,13.735574,-65.0,-40.27,False,False,False
4,45.840048,13.734883,-58.0,-48.49,False,False,True
5,45.8387365,13.7371601,-76.0,-50.52,False,True,True
6,45.8325625,13.7405638,-100.0,-77.14,True,True,True
7,45.8218223,13.7466496,-103.0,-80.78,True,True,True
8,45.8009615,13.7510073,-121.0,-94.55,True,True,True
9,45.7845738,13.782661,-110.0,-73.95,False,True,True
10,45.7759678,13.7980806,-109.0,-75.01,False,False,True
11,45.7681381,13.8036548,-118.0,-77.09,False,True,True
12,45.7570231,13.8321436,-119.0,-77.71,False,True,True
13,45.7559028,13.8337806,-111.0,-77.82,False,False,True
14,45.7157226,13.8706341,-114.0,-105.92,True,True,True
15,45.7102923,13.8764786,-114.0,-81.44,False,False,True
